,id,biskvit_id,short_name,address,city,scheduleFl,scheduleJurl,latitude,longitude,vip_zone,vip_office,ramp,person,juridical,prime,broker,ibs
32,29000293,4327,ДО ЦИК «Пушечный» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Кузнецкий мост, д. 16/5, стр. 1",Москва,"пн-пт: 09:00-18:00 сб, вс: выходной",Не обслуживает ЮЛ,55.761598,37.622082,0,0,1,1,0,0,0,1
33,29000119,4827,ДО «Северо-Западный» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Свободы, д. 13/2, стр. 1А",Москва,пн-пт: 10:00-19:00 cб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.829264,37.451312,1,0,0,1,1,0,1,0
34,29000099,0725,ДО «Румянцево» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, п. Московский, д. Румянцево, стр. 1",Москва,пн-пт: 10:00-19:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.640472,37.429798,1,0,1,1,1,0,1,1
35,29000184,2400,ДО «Земляной вал» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Земляной Вал, д. 52/16, стр. 1",Москва,"пн-пт: 10:00-19:00 сб, вс: выходной","пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.748949,37.655131,1,0,1,1,1,0,1,1
36,29000185,0700,ДО «Новый Арбат» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Б. Молчановка, д. 17",Москва,"пн-пт: 09:00-20:00 cб, вс: выходной",Не обслуживает ЮЛ,55.753002,37.59259,0,1,0,1,0,0,1,1
37,29000303,2703,ДО «Вернадский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, пр-т Вернадского, 29",Москва,пн-пт: 09:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.681712,37.516449,1,0,1,1,1,0,1,1
38,17000005,5228,ДО «Крестовский» Филиала в г. Москве,"г. Москва, пр-т Мира, д. 81",Москва,Не обслуживает ФЛ,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.801318,37.634335,0,0,0,0,1,0,0,0
39,29000189,2803,ДО «Бибирево» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Пришвина, д. 23",Москва,пн-пт: 10:00-19:00 cб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.885499,37.604682,1,0,1,1,1,0,1,1
40,29000098,0525,ДО «Обручевский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, Ленинский пр-т, д. 111, корп. 1",Москва,пн-пт: 09:00-20:00 сб: 10:00-17:00 вс: выходной,Не обслуживает ЮЛ,55.661333,37.509352,0,1,1,1,0,0,1,1
41,29000048,5403,ДО «Люблино центр» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Совхозная, д. 41",Москва,пн-пт: 09:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 09:00-18:00 пт: 09:00-17:00 сб, вс: выходной",55.674575,37.760234,1,0,1,1,1,0,1,1
42,29000056,0810,ДО «Митино» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Митинская, д. 36, корп. 2",Москва,пн-пт: 10:00-20:00 сб: 10:00-17:00 вс: выходной,"пн-чт: 10:00-19:00 пт: 10:00-18:00 сб, вс: выходной",55.847078,37.362154,1,0,1,1,1,0,1,0
43,29000060,2110,ДО «Кантемировский» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Кантемировская, д. 47",Москва,пн-пт: 10:00-19:00 сб: 10:00-17:00 вс: выходной,Не обслуживает ЮЛ,55.637799,37.656182,1,0,0,1,0,0,1,0
44,29000342,3001,ДО «Щука» Филиала № 7701 Банка ВТБ (ПАО),"г. Москва, ул. Щукинская, д. 42",Москва,"пн-пт: 10:00-21:00 сб, вс: выходной",Не обслуживает ЮЛ,55.809474,37.464571,0,0,0,1,0,0,0,0
